ticker,model_date,stock_price,conversion_price,conversion_ratio,remaining_maturity,implied_vol_pct,risk_free_rate_pct,bbg_option_per_share,our_option_per_share,option_diff_pct,bbg_option_pct,our_option_pct,bbg_delta,our_delta,delta_diff,flag
KRG,2026-03-04,25.9,23.61,42.3518,1.076,28.33,3.555,33.0321,4.7071,-85.7,139.8968,19.9356,0.8539,0.7228,-0.1311,⚠️  OPTION
PPL1,2026-03-04,38.59,42.66,23.4412,4.745,19.83,3.517,11.8566,7.7022,-35.0,27.7932,18.055,0.5482,0.6435,0.0953,⚠️  OPTION
EXC,2026-03-04,49.25,57.11,17.5093,3.031,21.19,3.399,8.0397,6.2712,-22.0,14.0769,10.9804,0.4575,0.5236,0.0661,✅ OK
BXP,2026-03-04,56.36,92.44,10.818,4.578,32.46,3.505,4.0357,9.1616,127.0,4.3658,9.911,0.3225,0.4462,0.1237,⚠️  OPTION
EEFT,2026-03-04,74.33,127.04,7.8718,4.578,39.33,3.505,14.1226,15.5198,9.9,11.117,12.2168,0.5429,0.489,-0.0539,✅ OK
WEC1,2026-03-04,117.55,128.37,7.7901,2.245,18.59,3.392,6.3191,12.435,96.8,4.9226,9.687,0.4501,0.5378,0.0878,⚠️  OPTION
DLR,2026-03-04,182.62,208.34,4.7998,3.702,32.18,3.445,16.1211,44.0406,173.2,7.7378,21.1386,0.5559,0.6183,0.0624,⚠️  OPTION
WEC2,2026-03-04,117.55,98.77,10.1243,3.244,18.59,3.414,31.9976,32.8742,2.7,32.3953,33.2828,0.8175,0.8451,0.0276,✅ OK
WEC3,2026-03-04,117.55,98.77,10.1243,1.243,18.59,3.526,25.7687,24.6583,-4.3,26.089,24.9648,0.8722,0.8759,0.0037,✅ OK
REXR1,2026-03-04,37.31,63.64,15.7146,1.029,25.48,3.564,0.0067,0.1261,1769.0,0.0106,0.1981,0.0265,0.0357,0.0092,⚠️  OPTION
REXR2,2026-03-04,37.31,63.64,15.7146,3.031,25.48,3.399,1.532,1.7586,14.8,2.4074,2.7636,0.1729,0.2244,0.0515,✅ OK
MTH,2026-03-04,71.44,115.87,8.63,2.199,39.35,3.391,3.4699,7.1065,104.8,2.9945,6.1329,0.2576,0.3401,0.0825,⚠️  OPTION
NEE,2026-03-04,92.6,68.06,14.6927,0.991,27.15,3.569,33.3984,27.9248,-16.4,49.0712,41.0291,0.8385,0.92,0.0815,✅ OK
FRT,2026-03-04,110.2,122.8,8.1436,2.869,20.91,3.396,8.3412,15.0127,80.0,6.7927,12.2257,0.4698,0.5577,0.0879,⚠️  OPTION
EVRG,2026-03-04,84.32,61.67,16.2166,1.782,19.87,3.429,93.776,26.9688,-71.2,152.0727,43.7343,0.9561,0.9388,-0.0173,⚠️  OPTION
CDP,2026-03-04,32.62,29.83,33.5201,2.535,31.76,3.394,31.2313,8.9555,-71.3,104.6875,30.0189,0.7085,0.7255,0.017,⚠️  OPTION
DUK,2026-03-04,131.88,118.42,8.4447,0.115,17.85,3.569,11.6017,14.0416,21.0,9.7973,11.8577,0.9735,0.9703,-0.0032,✅ OK
VTR,2026-03-04,86.75,54.71,18.2778,0.244,21.57,3.569,55.1309,32.5126,-41.0,100.7672,59.4258,0.9999,1.0,0.0001,⚠️  OPTION
PPL2,2026-03-04,38.59,34.08,29.3432,2.031,19.83,3.39,28.3603,8.2275,-71.0,83.2182,24.142,0.8188,0.795,-0.0238,⚠️  OPTION
